turns,b_field_power,b_field_current,current,voltage,power
1,0.0002877364113834281,0.00028773641138342816,40.0,0.3275424500632718,13.101698002530874
2,0.0005754728227668562,0.0005754728227668563,40.0,0.6550849001265436,26.203396005061748
3,0.0008632092341502843,0.0008632092341502843,40.0,0.9826273501898155,39.30509400759262
4,0.0011509456455337124,0.0011509456455337126,40.0,1.3101698002530873,52.406792010123496
5,0.0014386820569171406,0.0014386820569171409,40.0,1.637712250316359,65.50849001265436
6,0.0017264184683005686,0.0017264184683005686,40.0,1.965254700379631,78.61018801518524
7,0.002014154879683997,0.002014154879683997,40.0,2.2927971504429028,91.71188601771611
8,0.002301891291067425,0.0023018912910674253,40.0,2.6203396005061745,104.81358402024699
9,0.0025896277024508533,0.0025896277024508533,40.0,2.9478820505694463,117.91528202277786
10,0.0028773641138342813,0.0028773641138342817,40.0,3.275424500632718,131.01698002530873
11,0.0031651005252177093,0.0031651005252177097,40.0,3.60296695069599,144.1186780278396
12,0.0034528369366011373,0.0034528369366011373,40.0,3.930509400759262,157.2203760303705
13,0.0037405733479845657,0.0037405733479845657,40.0,4.258051850822534,170.32207403290136
14,0.004028309759367994,0.004028309759367994,40.0,4.5855943008858056,183.42377203543222
15,0.004316046170751422,0.004316046170751422,40.0,4.913136750949078,196.5254700379631
16,0.00460378258213485,0.004603782582134851,40.0,5.240679201012349,209.62716804049398
17,0.004891518993518278,0.004891518993518279,40.0,5.568221651075621,222.72886604302485
18,0.005179255404901707,0.005179255404901707,40.0,5.895764101138893,235.83056404555572
19,0.005466991816285135,0.005466991816285135,40.0,6.223306551202165,248.93226204808659
20,0.005754728227668563,0.0057547282276685634,40.0,6.550849001265436,262.03396005061745
21,0.006042464639051991,0.006042464639051992,40.0,6.878391451328708,275.13565805314835
22,0.006330201050435419,0.0063302010504354194,40.0,7.20593390139198,288.2373560556792
23,0.006617937461818847,0.006617937461818848,40.0,7.533476351455252,301.3390540582101
24,0.006905673873202275,0.006905673873202275,40.0,7.861018801518524,314.440752060741
25,0.007193410284585704,0.007193410284585703,40.0,8.188561251581795,327.5424500632719
26,0.0074811466959691314,0.0074811466959691314,40.0,8.516103701645068,340.6441480658027
27,0.00776888310735256,0.00776888310735256,40.0,8.84364615170834,353.7458460683336
28,0.008056619518735987,0.008056619518735987,40.0,9.171188601771611,366.84754407086444
29,0.008344355930119417,0.008344355930119417,40.0,9.498731051834884,379.94924207339534
30,0.008632092341502844,0.008632092341502844,40.0,9.826273501898156,393.0509400759262
31,0.008919828752886274,0.008919828752886272,40.0,10.153815951961427,406.1526380784571
32,0.0092075651642697,0.009207565164269701,40.0,10.481358402024698,419.25433608098797
33,0.009495301575653127,0.009495301575653129,40.0,10.80890085208797,432.3560340835188
34,0.009783037987036556,0.009783037987036558,40.0,11.136443302151243,445.4577320860497
35,0.010070774398419984,0.010070774398419986,40.0,11.463985752214514,458.55943008858054
36,0.010358510809803413,0.010358510809803413,40.0,11.791528202277785,471.66112809111144
37,0.01064624722118684,0.010646247221186842,40.0,12.119070652341058,484.7628260936423
38,0.01093398363257027,0.01093398363257027,40.0,12.44661310240433,497.86452409617317
39,0.011221720043953698,0.011221720043953698,40.0,12.774155552467601,510.96622209870407
40,0.011509456455337125,0.011509456455337127,40.0,13.101698002530872,524.0679201012349
41,0.011797192866720551,0.011797192866720554,40.0,13.429240452594144,537.1696181037657
42,0.012084929278103982,0.012084929278103984,40.0,13.756782902657417,550.2713161062967
43,0.01237266568948741,0.012372665689487411,40.0,14.084325352720688,563.3730141088275
44,0.012660402100870837,0.012660402100870839,40.0,14.41186780278396,576.4747121113584
45,0.012948138512254265,0.012948138512254268,40.0,14.739410252847232,589.5764101138892
46,0.013235874923637694,0.013235874923637696,40.0,15.066952702910504,602.6781081164202
47,0.013523611335021122,0.013523611335021123,40.0,15.394495152973775,615.779806118951
48,0.01381134774640455,0.01381134774640455,40.0,15.722037603037048,628.881504121482
49,0.014099084157787978,0.014099084157787978,40.0,16.04958005310032,641.9832021240128
50,0.014386820569171408,0.014386820569171406,40.0,16.37712250316359,655.0849001265437
51,0.014674556980554835,0.014674556980554835,40.0,16.704664953226864,668.1865981290746
52,0.014962293391938263,0.014962293391938263,40.0,17.032207403290137,681.2882961316054
53,0.01525002980332169,0.01525002980332169,40.0,17.359749853353406,694.3899941341363
54,0.01553776621470512,0.01553776621470512,40.0,17.68729230341668,707.4916921366672
55,0.015825502626088547,0.015825502626088547,40.0,18.014834753479953,720.593390139198
56,0.016113239037471975,0.016113239037471975,40.0,18.342377203543222,733.6950881417289
57,0.016400975448855406,0.016400975448855402,40.0,18.669919653606495,746.7967861442598
58,0.016688711860238833,0.016688711860238833,40.0,18.99746210366977,759.8984841467907
59,0.01697644827162226,0.01697644827162226,40.0,19.325004553733038,773.0001821493215
60,0.01726418468300569,0.01726418468300569,40.0,19.65254700379631,786.1018801518524
61,0.017551921094389116,0.017551921094389116,40.0,19.98008945385958,799.2035781543833
62,0.017839657505772547,0.017839657505772544,40.0,20.307631903922854,812.3052761569141
63,0.01812739391715597,0.018127393917155975,40.0,20.635174353986123,825.4069741594449
64,0.0184151303285394,0.018415130328539402,40.0,20.962716804049396,838.5086721619759
65,0.018702866739922826,0.01870286673992283,40.0,21.29025925411267,851.6103701645069
66,0.018990603151306254,0.018990603151306257,40.0,21.61780170417594,864.7120681670376
67,0.019278339562689685,0.019278339562689685,40.0,21.945344154239216,877.8137661695686
68,0.019566075974073113,0.019566075974073116,40.0,22.272886604302485,890.9154641720994
69,0.01985381238545654,0.019853812385456544,40.0,22.600429054365758,904.0171621746304
70,0.020141548796839968,0.02014154879683997,40.0,22.927971504429028,917.1188601771611
71,0.0204292852082234,0.0204292852082234,40.0,23.2555139544923,930.220558179692
72,0.020717021619606826,0.020717021619606826,40.0,23.58305640455557,943.3222561822229
73,0.021004758030990254,0.021004758030990254,40.0,23.910598854618847,956.4239541847538
74,0.02129249444237368,0.021292494442373685,40.0,24.238141304682117,969.5256521872845
75,0.02158023085375711,0.021580230853757112,40.0,24.56568375474539,982.6273501898155
76,0.02186796726514054,0.02186796726514054,40.0,24.89322620480866,995.7290481923463
77,0.022155703676523968,0.022155703676523968,40.0,25.220768654871932,1008.8307461948773
78,0.022443440087907395,0.022443440087907395,40.0,25.548311104935202,1021.9324441974081
79,0.02273117649929082,0.022731176499290826,40.0,25.875853554998475,1035.034142199939
80,0.02301891291067425,0.023018912910674254,40.0,26.203396005061744,1048.1358402024698
81,0.02330664932205768,0.02330664932205768,40.0,26.530938455125018,1061.2375382050009
82,0.023594385733441102,0.02359438573344111,40.0,26.858480905188287,1074.3392362075315
83,0.023882122144824536,0.023882122144824536,40.0,27.186023355251564,1087.4409342100626
84,0.024169858556207964,0.024169858556207967,40.0,27.513565805314833,1100.5426322125934
85,0.02445759496759139,0.024457594967591395,40.0,27.841108255378106,1113.6443302151242
86,0.02474533137897482,0.024745331378974823,40.0,28.168650705441376,1126.746028217655
87,0.025033067790358247,0.02503306779035825,40.0,28.49619315550465,1139.847726220186
88,0.025320804201741674,0.025320804201741678,40.0,28.82373560556792,1152.9494242227167
89,0.025608540613125105,0.025608540613125105,40.0,29.151278055631195,1166.0511222252478
90,0.02589627702450853,0.025896277024508536,40.0,29.478820505694465,1179.1528202277784
91,0.02618401343589196,0.026184013435891964,40.0,29.806362955757738,1192.2545182303095
92,0.026471749847275388,0.02647174984727539,40.0,30.133905405821007,1205.3562162328403
93,0.026759486258658812,0.02675948625865882,40.0,30.46144785588428,1218.4579142353712
94,0.027047222670042243,0.027047222670042247,40.0,30.78899030594755,1231.559612237902
95,0.027334959081425674,0.027334959081425678,40.0,31.116532756010823,1244.661310240433
96,0.0276226954928091,0.0276226954928091,40.0,31.444075206074096,1257.763008242964
97,0.02791043190419253,0.02791043190419253,40.0,31.771617656137366,1270.8647062454947
98,0.028198168315575957,0.028198168315575957,40.0,32.09916010620064,1283.9664042480256
99,0.028485904726959384,0.028485904726959384,40.0,32.42670255626391,1297.0681022505564
100,0.028773641138342815,0.028773641138342812,40.0,32.75424500632718,1310.1698002530875
101,0.029061377549726243,0.02906137754972624,40.0,33.08178745639046,1323.271498255618
102,0.02934911396110967,0.02934911396110967,40.0,33.40932990645373,1336.3731962581492
103,0.029636850372493098,0.029636850372493098,40.0,33.736872356517,1349.47489426068
104,0.029924586783876526,0.029924586783876526,40.0,34.064414806580274,1362.5765922632108
105,0.030212323195259953,0.030212323195259953,40.0,34.39195725664354,1375.6782902657417
106,0.03050005960664338,0.03050005960664338,40.0,34.71949970670681,1388.7799882682725
